"date","yr","mon","day","temp","ws","rh","prec","dew","lat","long"
1979-05-01,1979,5,1,12.4468231289187,6.93529110179911,63.7237064456318,1.72646595444957,5.81910200412545,40,-121
1979-05-02,1979,5,2,20.2504422971418,4.74857859479136,32.078805513102,0.353258718035649,3.23008012198676,40,-121
1979-05-03,1979,5,3,20.2180433761962,12.0060849117889,39.4833849681588,-1.04083408558608e-14,6.16073033531893,40,-121
1979-05-04,1979,5,4,16.7965666316852,18.1610637477126,29.3136761082048,-1.04083408558608e-14,-1.07423258896932,40,-121
1979-05-05,1979,5,5,7.36848063651502,16.6927105499016,91.7384258940568,20.1876469632597,6.12140988464341,40,-121
1979-05-06,1979,5,6,3.79857162627638,16.0933946843308,86.8947884214683,9.72561529692548,1.82373569133387,40,-121
1979-05-07,1979,5,7,4.48949745202327,8.67325925584017,82.4219819831831,18.997556590267,1.76552099812602,40,-121
1979-05-08,1979,5,8,8.71868683034103,7.91834818252381,50.4718063435203,6.00291603100835,-0.965463030607282,40,-121
1979-05-09,1979,5,9,12.4370281063072,9.53026081017468,28.755233914754,0.715769181481374,-5.17172994247647,40,-121
1979-05-10,1979,5,10,17.4641350958201,4.56168350914675,26.8310097079083,-1.04083408558608e-14,-1.69569997172334,40,-121
1979-05-11,1979,5,11,21.7957954799193,3.3246938474397,25.4748200905925,-1.04083408558608e-14,1.3564861800603,40,-121
1979-05-12,1979,5,12,24.9761639755329,8.97265696382246,21.7126847094225,-1.04083408558608e-14,1.85999221078788,40,-121
1979-05-13,1979,5,13,22.5138459836671,7.01563350688505,32.444464677867,0.205456443801629,5.39985408198822,40,-121
1979-05-14,1979,5,14,23.382589142976,12.2337398943192,26.6149774676818,-1.04083408558608e-14,3.34702016360603,40,-121
1979-05-15,1979,5,15,21.3663214115706,13.2989128857458,30.7172549194046,0.0200830571096501,3.60541169661633,40,-121
1979-05-16,1979,5,16,23.4360850357001,11.6259071611714,26.5283870279335,-1.04083408558608e-14,3.34753081880962,40,-121
1979-05-17,1979,5,17,25.3039205013779,6.33011702438261,26.1291930215121,-1.04083408558608e-14,4.75387524946245,40,-121
1979-05-18,1979,5,18,24.6461470598545,8.78914587534748,21.2477024170612,-1.04083408558608e-14,1.27784527870932,40,-121
1979-05-19,1979,5,19,26.9946920967716,9.36926002145571,20.1024316492444,-1.04083408558608e-14,2.49167269761347,40,-121
1979-05-20,1979,5,20,25.2074772018189,9.81486565817004,27.2814135721981,-1.04083408558608e-14,5.28648862679398,40,-121
1979-05-21,1979,5,21,23.8015147254354,11.5546022275084,34.8723086024809,0.00146674012597601,7.58852228452207,40,-121
1979-05-22,1979,5,22,20.4764812804833,13.0725828578693,36.4009746041454,-1.04083408558608e-14,5.22725262317897,40,-121
1979-05-23,1979,5,23,19.8767245113507,13.4334431859052,30.4379613793187,0.0180521861659769,2.16178943610225,40,-121
1979-05-24,1979,5,24,23.4104672842547,6.78637295498274,25.281208766321,-1.04083408558608e-14,2.64742253470462,40,-121
1979-05-25,1979,5,25,26.79276393832,4.29941828123035,21.741222195696,-1.04083408558608e-14,3.42361844414268,40,-121
1979-05-26,1979,5,26,27.3910137808969,12.7500408745706,20.6220003439301,-1.04083408558608e-14,3.18514246407187,40,-121
1979-05-27,1979,5,27,21.7762054346964,13.2459816550067,27.2034505043447,-1.04083408558608e-14,2.25574999356058,40,-121
1979-05-28,1979,5,28,17.3044008809255,13.6355071237746,22.2038368907373,-1.04083408558608e-14,-4.38327830815257,40,-121
1979-05-29,1979,5,29,18.2869169951828,11.9754081690885,16.8976164053424,-1.04083408558608e-14,-7.15766802919001,40,-121
1979-05-30,1979,5,30,20.2451680541972,16.2085378358495,15.48268854926,-1.04083408558608e-14,-6.67867344823418,40,-121
1979-05-31,1979,5,31,22.4422669722757,10.9443024437433,16.5569619849232,-1.04083408558608e-14,-3.97322217967974,40,-121
1979-06-01,1979,6,1,25.4383915504641,9.84625873424449,16.3517313533817,1.04083408558608e-14,-1.66073620813535,40,-121
1979-06-02,1979,6,2,28.5095402226979,2.86761494561292,14.4889825410617,1.04083408558608e-14,-0.790495745136241,40,-121
1979-06-03,1979,6,3,28.7875454059167,13.1967784884495,21.4322086357496,1.04083408558608e-14,4.91431185179965,40,-121
1979-06-04,1979,6,4,27.3967493923625,12.4176514828257,23.6497826228972,1.04083408558608e-14,5.13485853724819,40,-121
1979-06-05,1979,6,5,31.3088444913965,11.3583724330541,18.6176993706678,1.04083408558608e-14,5.02550413904663,40,-121
1979-06-06,1979,6,6,27.0917907980283,8.28848630703222,10.1600278832962,1.04083408558608e-14,-6.68184908018071,40,-121
1979-06-07,1979,6,7,18.6507525341479,15.0113459622781,13.5758040724337,1.04083408558608e-14,-9.68955450298535,40,-121
1979-06-08,1979,6,8,23.4823440009471,7.68672559334188,14.5379108299395,1.04083408558608e-14,-4.85039264643501,40,-121
1979-06-09,1979,6,9,27.907324008634,13.294204950338,13.4578181682995,1.04083408558608e-14,-2.28515901131158,40,-121
1979-06-10,1979,6,10,27.434484167924,14.0297626702481,15.8729912235644,1.04083408558608e-14,-0.420161102487214,40,-121
1979-06-11,1979,6,11,28.9854604532497,15.0192676286344,14.6594329048969,1.04083408558608e-14,-0.241885865082963,40,-121
1979-06-12,1979,6,12,27.4059905618877,20.9115353425737,16.1935654249057,1.04083408558608e-14,-0.168829775528138,40,-121
1979-06-13,1979,6,13,22.7006950786007,18.8482479409837,12.6846793393488,1.04083408558608e-14,-7.28146038124396,40,-121
