"DATE","YR","MON","DAY","TEMP","WS","RH","PREC","DEW","LAT","LONG","FFMC","DMC","DC","ISI","BUI","FWI","DSR"
1950-05-01,1950,5,1,3.51790293228339,16.8780807372501,87.486100488193,20.6593572615908,1.64155902607297,40,-121,26.704874884926,2.45549480709094,3.03722252781101,0.00309342277165671,2.14375650224087,0.000977552405486063,1.27972540110186e-07
1950-05-02,1950,5,2,0.789397138774575,10.6286725992192,86.0396680791531,20.2098152160994,-1.27791933188303,40,-121,13.7926772157627,0.604364784267889,2.54609148497942,1.55243066442225e-05,0.758573687037964,3.88201113855037e-06,7.19779377750030e-12
1950-05-03,1950,5,3,1.44449627313838,8.71632584856394,68.7319074461683,17.8074842770278,-3.67748376958281,40,-121,20.3641444508182,0.209458496984329,2.66400932916491,0.000232837262576192,0.350100177074355,5.28030548824595e-05,7.30592855409973e-10
1950-05-04,1950,5,4,8.70857913352694,13.5437291709461,42.0208319183533,0.944219562485752,-3.4580751199818,40,-121,53.0805524034739,1.70663449018267,6.63555357319976,0.458624565609942,2.07747557793621,0.143595147649903,0.000876407907225954
1950-05-05,1950,5,5,8.6620420365503,12.9057558072238,57.1255347261508,0.213713738562237,0.685315433027426,40,-121,70.1717467163963,2.80851414673015,10.5987211397788,1.20533408874458,3.37873408243746,0.443109799289968,0.00644012061886004
1950-05-06,1950,5,6,2.59217268011679,12.7294909333623,43.0780348669656,1.1139760647449,-8.74278867114219,40,-121,73.1098948828062,3.36180904315752,13.4693122221998,1.32821638793522,4.14022104358275,0.528074317934662,0.00878494681997449
1950-05-07,1950,5,7,8.04775235645832,9.25333450266399,43.2924304960153,0.153714376845443,-3.66405058695415,40,-121,81.1325331790356,4.72749300038276,17.3219076463623,2.05155273191074,5.62027441658572,0.929362526335147,0.0238922269697644
1950-05-08,1950,5,8,10.1089877748556,6.23163110284575,43.1533847008181,0.461052497059419,-1.81524663702834,40,-121,84.7000025800105,6.40500556570221,21.5455254458363,2.76856660799453,7.34858436424104,2.24472932119425,0.113796563635879
1950-05-09,1950,5,9,14.9645968778671,2.82387152301276,35.7351915595239,0.00861018030679081,0.0136563015958018,40,-121,87.6240337431702,9.12293279233119,26.6431528838524,3.5155115908787,9.83058887290292,3.69624988585868,0.275110044876653
1950-05-10,1950,5,10,19.1336048116383,3.10368696759494,25.828035607883,0.00335343864580262,-0.762483139169603,40,-121,90.7787702304692,13.0739399775269,32.4912017499473,5.60353859623214,13.0710896842531,6.96638026904085,0.844678826446707
1950-05-11,1950,5,11,20.4531104997614,0.827516608201922,31.9701293153274,0.100603159374081,3.36200145310301,40,-121,90.8283848183653,16.9340917086762,38.5767616399043,5.03181409016214,16.8885209958261,7.2569608869983,0.908039767495679
1950-05-12,1950,5,12,21.3358834316418,6.92032958233602,31.6505480440572,0.191146002810755,4.00231649173446,40,-121,90.9952404565465,20.9712240518932,44.8212206575999,7.00473585537216,20.8923938625915,10.8188930963849,1.84107937251393
1950-05-13,1950,5,13,20.4889082666664,9.67105691446067,40.0579000329381,0.233743736960141,6.61482175036213,40,-121,90.837704791668,24.3781085450822,50.9132241455998,7.86746583187524,24.2854273091159,12.8439554651742,2.49439808349194
1950-05-14,1950,5,14,20.6729087885588,13.5171264607402,36.6712842959049,0.0519329822714848,5.5098180978365,40,-121,90.8873388368299,28.0081527094136,57.0383477275404,9.61782494053281,27.899482084969,16.0955945743251,3.71912124632301
1950-05-15,1950,5,15,21.3029494860891,11.6001157823554,33.5101010851597,0.000453167384567663,4.78492376117293,40,-121,90.9369892686888,31.9296836620908,63.2768786350364,8.79425589741047,31.8025535725665,16.0758798307234,3.71106202940566
1950-05-16,1950,5,16,21.1361318923112,13.5280811630696,23.5658143011448,0,-0.28983412075479,40,-121,92.4545196535249,36.4041542679375,69.4853823756524,12.017168744645,36.2506949744359,21.5894639515389,6.25427531346829
1950-05-17,1950,5,17,15.626855565612,14.17569570323,42.3514838045881,0,2.97940451082826,40,-121,90.3931391869303,38.9427714509397,74.7022163774626,9.26486721986853,38.7885278418175,18.4969240625034,4.75702072054893
1950-05-18,1950,5,18,18.6589264224763,3.76931194574775,25.3425792309873,0,-1.4336447453187,40,-121,91.5402233321012,42.8263411237964,80.4648231335083,6.45797621210897,42.6539150929646,14.8261480548711,3.21580016319932
1950-05-19,1950,5,19,22.9517946297393,2.17542808553198,24.4569184938209,0,1.78733393385778,40,-121,92.5518244140773,47.6097439758524,87.0001461668614,6.87555396628689,47.4117379362102,16.4548789885345,3.86732357221861
1950-05-20,1950,5,20,24.8447805436824,4.9546024519717,24.6915910782774,0.0429602680570404,3.55354868688164,40,-121,93.0085302986021,52.7535934187854,93.8762066647243,8.4327702268148,52.5277833710452,20.1853487840007,5.55242985496908
1950-05-21,1950,5,21,26.545174471676,7.55641734402371,24.7461937314296,0.410116483033983,5.05060226205029,40,-121,93.3229745237338,58.2305914034266,101.058338069626,10.0462519255909,57.9745841442103,24.0510209857973,7.57138324356552
1950-05-22,1950,5,22,25.2192251855101,15.0704788315357,19.1774281686681,0.181266953827175,0.341525462790912,40,-121,94.3084764866159,63.8307527631971,108.001798603018,16.8218191436334,63.5411516025945,35.7016309663146,15.2344494508899
1950-05-23,1950,5,23,21.1898285426689,9.15579782096513,28.6793302491573,0,2.48337180413392,40,-121,93.4767269826728,68.0159594988027,114.219967740698,11.1254915824427,67.7078759215117,27.9106923367363,9.85332670425596
1950-05-24,1950,5,24,20.8239753648984,9.2890972790416,37.7637238334882,0.189333333272484,6.06754393956601,40,-121,91.8772978910053,71.6081360997262,120.37228330638,8.94626705168553,71.2891819436469,24.6421150942495,7.90385440452691
1950-05-25,1950,5,25,24.7423989303338,4.84583467710145,20.9177644117021,0.00480357427642009,1.14204364240089,40,-121,93.5984591679917,76.9884366837634,127.22991511384,9.10674330694213,76.6372223861751,25.8906228928293,8.62643049417757
1950-05-26,1950,5,26,26.9811912725805,7.86917528225235,18.370070272353,0,1.22214521289015,40,-121,94.746392570986,83.023192823202,134.490529542904,12.4301403216696,82.6321229060487,33.1979982472059,13.3948224978076
1950-05-27,1950,5,27,22.5415522210065,14.3027597768,21.655100567409,0,-0.249534572868868,40,-121,94.7569451089772,87.8993925940018,140.952008942686,17.2146762905171,87.4791978712994,42.2214439861504,20.5004058800229
