"DATE","YR","MON","DAY","TEMP","WS","RH","PREC","DEW","LAT","LONG","FFMC","DMC","DC","ISI","BUI","FWI","DSR"
1959-05-01,1959,5,1,9.5627774380489,12.0666287160944,43.3293959851582,0.147294774559427,-2.26134879292533,40.25,-105.76000213623,86.2313439999437,7.59082702731164,19.1252999388488,4.59515590714116,7.62035816562299,4.293586929542,0.358641683600027
1959-05-02,1959,5,2,8.24859379239581,12.5572999981625,40.5968497124841,0,-4.33990585697131,40.25,-105.76000213623,86.8354073557899,9.05283769579426,23.01404682148,5.1305557086674,9.12858900032768,5.29622312890673,0.519983075344215
1959-05-03,1959,5,3,1.64337262674366,5.92837339223686,88.756068651606,2.79534600167243,-0.0093684301497774,40.25,-105.76000213623,52.3441261068547,6.42419145646761,25.7138538942939,0.289248092366244,7.90871860659155,0.154324152713474,0.000995627558625497
1959-05-04,1959,5,4,1.86977201349481,11.7069495364619,73.9541907897945,5.57676485097132,-2.27963706806406,40.25,-105.76000213623,36.0308198985615,3.40321690726878,21.4652159520229,0.0276617909125327,4.8743973917978,0.0117694575347203,1.04666527022569e-05
1959-05-05,1959,5,5,2.9255401975027,14.2779443126117,39.5659050713789,4.36078820487812,-9.53188410584585,40.25,-105.76000213623,45.1234610818469,2.07741831386258,19.5454728774217,0.172131075187829,3.28259773463863,0.0626135298567152,0.000201684069938494
1959-05-06,1959,5,6,2.38888979927771,11.6477067923584,59.6248418214223,0.77674150900767,-4.67287859053204,40.25,-105.76000213623,59.3557823362435,2.44826658923318,22.3794730412917,0.706251102278955,3.8449577486457,0.272685136918927,0.00272702864729907
1959-05-07,1959,5,7,0.93368296659105,8.1961738386405,82.6578418621504,1.92035751559479,-1.68243029025717,40.25,-105.76000213623,50.3598056373533,1.63261952366282,24.9515359752781,0.258980676603009,2.8062029977919,0.0891529668218529,0.000376972153280695
1959-05-08,1959,5,8,2.3553491493887,5.01228551653942,86.2358616846243,7.92212758709604,0.295856575614266,40.25,-105.76000213623,22.8929293783721,0.305365637228885,16.8153265315547,0.000486591490278976,0.584208278757621,0.000117037626367319,2.98885639053031e-09
1959-05-09,1959,5,9,8.75246582822916,16.7557496042083,29.7104628779666,2.56441262182616,-7.99503836401328,40.25,-105.76000213623,54.3975696989418,1.82318355777565,20.7947703806359,0.613955493620018,2.99081673095988,0.216036016934555,0.00180584391466247
1959-05-10,1959,5,10,4.31747716789863,24.8891782176023,38.0106592501735,2.85642867539775,-8.78143419497974,40.25,-105.76000213623,60.9918093706944,1.49215545159295,21.6997741886897,1.52299772677865,2.54653787206491,0.507688942805115,0.00819363929985247
1959-05-11,1959,5,11,10.966148720907,17.1841959047379,34.3181578891856,0.000454146273040548,-4.12486096654663,40.25,-105.76000213623,79.8796452739211,3.57860925478385,26.077680958453,2.66982383891825,5.32899078403004,1.64313805801614,0.0655106609344089
1959-05-12,1959,5,12,12.5829605030592,14.9081950897434,27.8424350689805,0.0214962569243891,-5.47062576468807,40.25,-105.76000213623,87.5503172491492,6.17791111201239,30.7466138490036,6.39536953661521,8.22446956697085,6.22491287758773,0.692125428280546
1959-05-13,1959,5,13,9.2456658390978,5.47572144133503,45.4458657977978,0.254094839771847,-1.90630400316263,40.25,-105.76000213623,87.5988659621784,7.66378136896454,34.8148337000412,4.00367525454046,9.88668079186114,4.28225884402993,0.356968556895684
1959-05-14,1959,5,14,8.25774124236551,7.29289426509777,50.2962802979653,1.10221300469399,-1.44279082292178,40.25,-105.76000213623,80.2661544676618,8.88826983425644,38.705227123667,1.68890223800844,11.2931443940788,1.3810001310377,0.0481628067495831
1959-05-15,1959,5,15,8.3263471171386,2.77214883944964,56.3479430169119,4.17103075378845,0.179189992832562,40.25,-105.76000213623,53.1910362562641,6.35390166723442,37.8827377743457,0.269548588783726,8.95348404800201,0.153306648831945,0.000984037971430858
1959-05-16,1959,5,16,10.9303212085255,15.0634990184957,32.3105004470803,0.88732612649551,-4.95981532115735,40.25,-105.76000213623,74.6874176927395,8.49774626555062,42.2541955918803,1.60899804670053,11.3094037311654,1.20979770569014,0.0381039925106086
1959-05-17,1959,5,17,8.62135237866283,19.0496008764213,42.0155053751625,0.713161030780575,-3.53963616210649,40.25,-105.76000213623,81.3114182631845,9.98174433832913,46.2100390200396,3.43085342782494,12.9631331461144,4.26782845326026,0.354842159402081
1959-05-18,1959,5,18,4.10861039358946,8.62109504820726,75.3814690285027,2.41000288898893,0.155226046099017,40.25,-105.76000213623,59.717145627124,7.93855267899316,49.3535888908857,0.62081399127542,11.3235905153267,0.400990158517278,0.00539654220111191
1959-05-19,1959,5,19,4.56140916709177,4.27850762709022,65.1976060461712,4.26178431735307,-1.39801608034071,40.25,-105.76000213623,42.8625926301532,5.07715549787393,47.5610085123272,0.0721361803309625,8.015237083264,0.0387490421325835,8.62562996615247e-05
1959-05-20,1959,5,20,-0.816529127619788,7.0771823069018,81.9341947267242,9.06687895936578,-3.51756410590457,40.25,-105.76000213623,21.5053073956557,2.09584420384873,36.1843097476167,0.000328437867303576,3.66149197776894,0.00012444015432982,3.33157091267916e-09
1959-05-21,1959,5,21,-1.646660212374,12.0664828313985,98.6471453735503,6.75406337280969,-1.8318896422532,40.25,-105.76000213623,7.32498532477846,0.471499026808986,29.056099157977,5.27911122076056e-07,0.906233962451271,1.360992762419e-07,1.91202557833907e-14
