"DATE","TIME","TEMP","RH","WS","PREC","YR","MON","DAY","LAT","LONG","FFMC","DMC","DC","ISI","BUI","FWI","DSR"
1999-09-01,13:00:00,20.5555555555556,45,4.828032,1778,1999,9,1,40.25,105.75,46.4651243543844,3.05133436290711,5.404,0.130654032558984,2.89374474805485,0.0454513113334122,0.000114400010265889
1999-09-02,13:00:00,16.6666666666667,54,6.437376,1778,1999,9,2,40.25,105.75,40.1008472886455,2.2110065897709,4.704,0.0489606542700579,2.13680316687093,0.0154571455592465,1.69561698853148e-05
1999-09-03,13:00:00,19.4444444444444,34,4.828032,0,1999,9,3,40.25,105.75,73.4786046963118,4.62505605910424,9.908,0.906253957858337,4.5536380741193,0.374641802573482,0.00478486444636277
1999-09-04,13:00:00,15,33,8.04672,1778,1999,9,4,40.25,105.75,50.2733410292375,3.40257254230871,4.404,0.254388815117112,3.10896504491021,0.0907433864044882,0.000388956848753192
1999-09-05,13:00:00,18.8888888888889,21,6.437376,0,1999,9,5,40.25,105.75,81.0249984214771,6.21397858186427,9.508,1.75849790856674,5.98989504536555,0.820133498503853,0.0191489321124949
1999-09-06,13:00:00,20.5555555555556,19,6.437376,0,1999,9,6,40.25,105.75,91.0612739335077,9.33690805786427,14.912,6.90094152760279,9.12927412823527,7.02862161857535,0.858082597496347
1999-09-07,13:00:00,21.1111111111111,18,12.874752,0,1999,9,7,40.25,105.75,93.5999938115042,12.579497507642,20.416,13.6509062729668,12.3759598847518,14.3054335312466,3.01860103168848
1999-09-09,13:00:00,22.7777777777778,13,6.437376,0,1999,9,9,40.25,105.75,95.3025747341418,16.2779580263087,26.22,12.4801747949817,16.0665987872673,15.0248273668813,3.29246906085215
1999-09-10,13:00:00,15,42,8.04672,0,1999,9,10,40.25,105.75,91.5036374914273,17.9404581943087,30.624,7.96981271532028,17.7543440725139,11.0623117684391,1.91503244549269
1999-09-11,13:00:00,13.3333333333333,67,6.437376,2540,1999,9,11,40.25,105.75,36.2489782326719,6.81054243301486,4.104,0.0222575085523784,6.23997701158859,0.0105799979058422,8.66779005705598e-06
1999-09-12,13:00:00,15,28,11.265408,2286,1999,9,12,40.25,105.75,49.8797407670897,4.48510846779157,4.404,0.285230877129857,4.08121559359562,0.112751871631117,0.00057125229612944
1999-09-13,13:00:00,19.4444444444444,20,6.437376,0,1999,9,13,40.25,105.75,81.5189637748906,7.41122903668046,9.608,1.86168888780026,7.11480878467223,0.942346491441113,0.0244862172148463
1999-09-14,13:00:00,16.1111111111111,21,4.828032,0,1999,9,14,40.25,105.75,89.4176827788013,9.8319449651249,14.212,5.03007281123555,9.57958346408019,5.32706297197745,0.525354388350976
1999-09-15,13:00:00,17.2222222222222,18,4.828032,0,1999,9,15,40.25,105.75,92.4361480991892,12.5067973926805,19.016,7.73189199912503,12.2737631918168,8.97698781949346,1.32315319430132
1999-09-16,13:00:00,17.2222222222222,27,6.437376,0,1999,9,16,40.25,105.75,92.4863098709611,14.888068456236,23.82,8.4444693826782,14.6753344278179,10.5527164843732,1.76166636448729
1999-09-17,13:00:00,18.3333333333333,24,6.437376,0,1999,9,17,40.25,105.75,92.5364882036592,17.5175414855693,28.824,8.50431751126301,17.3145579105252,11.5166171624591,2.05643047139175
1999-09-18,13:00:00,17.7777777777778,22,3.218688,0,1999,9,18,40.25,105.75,92.5866831027512,20.139062240236,33.728,7.28229095603695,19.9409996803274,10.9023630144859,1.86629560923167
1999-09-19,13:00:00,8.33333333333333,81,3.218688,762,1999,9,19,40.25,105.75,22.4333290278872,6.77695780392585,3.204,0.000378023556900391,6.14080908578719,0.000178351369280163,6.29982110314114e-09
1999-09-20,13:00:00,9.44444444444444,63,3.218688,9906,1999,9,20,40.25,105.75,23.5554243751852,3.10020319572531,3.404,0.000559093247797204,2.74038574055912,0.000190931720885638,7.10760227779923e-09
1999-09-21,13:00:00,13.8888888888889,34,3.218688,0,1999,9,21,40.25,105.75,57.4930456547526,4.86145399839198,7.608,0.404393953895171,4.64814990992316,0.168621008903866,0.00116466918174674
1999-09-22,13:00:00,17.2222222222222,21,4.828032,0,1999,9,22,40.25,105.75,81.9104997925125,7.43844597128087,12.412,1.79854966874709,7.25195893626947,0.91895883053217,0.0234208645292738
1999-09-23,13:00:00,18.8888888888889,17,4.828032,0,1999,9,23,40.25,105.75,91.0626302076432,10.3922016837253,17.516,6.36463056319175,10.2079883913673,6.89386429563942,0.829178316296808
1999-09-24,13:00:00,13.3333333333333,51,3.218688,0,1999,9,24,40.25,105.75,89.0154545204218,11.6513316210586,21.62,4.3780590807916,11.510432581983,5.12676089828791,0.490897845551538
1999-09-25,13:00:00,19.4444444444444,36,6.437376,0,1999,9,25,40.25,105.75,89.6580462500316,13.9922280761698,26.824,5.64635988097239,13.8649882305352,7.23831919082419,0.903915194741199
1999-09-26,13:00:00,16.1111111111111,23,9.656064,0,1999,9,26,40.25,105.75,91.487613206345,16.3516600570586,31.428,8.6234102587019,16.2238904468806,11.2782427831325,1.98169243526184
1999-09-27,13:00:00,9.44444444444444,18,11.265408,0,1999,9,27,40.25,105.75,92.0327434693399,17.8910384401698,34.832,10.1027836574951,17.7682729472137,13.378621219579,2.68112466341272
1999-09-28,13:00:00,-2.22222222222222,87,3.218688,0,1999,9,28,40.25,105.75,84.8964666217705,17.8910384401698,36.136,2.44334947209649,17.786169296394,3.61042460914062,0.263904661164765
1999-09-29,13:00:00,11.6666666666667,19,4.828032,762,1999,9,29,40.25,105.75,47.8594400783994,7.82218330807227,3.804,0.158875777632898,7.19074768625375,0.0808390738929394,0.000316999558442112
1999-09-30,13:00:00,16.6666666666667,16,8.04672,0,1999,9,30,40.25,105.75,80.2693372011853,10.4791925720723,8.508,1.75488493449706,9.99649948281185,1.2811590419008,0.0421722036892105
1999-10-01,13:00:00,17.7777777777778,16,9.656064,0,1999,10,1,40.25,105.75,91.0462598129668,12.8818957187389,12.412,8.09874355285675,12.4567578774415,9.40693558301617,1.43738187775312
1999-10-02,13:00:00,15,13,9.656064,0,1999,10,2,40.25,105.75,93.7131493810043,15.0042363587389,15.816,11.7912362289894,14.6097406840888,13.7619556681506,2.81859565111345
1999-10-03,13:00:00,11.6666666666667,13,11.265408,0,1999,10,3,40.25,105.75,93.9870421528719,16.6871689987389,18.62,13.2828000144831,16.3121929544064,15.8654086988298,3.6254977639672
1999-10-05,13:00:00,17.2222222222222,11,8.04672,0,1999,10,5,40.25,105.75,95.1595428017922,19.1579719676278,22.424,13.2725382342067,18.7974582271128,16.9314787477075,4.06779313476904
